,Produk,Ulasan,Rating
1,Skintific 5x Ceramide Barrier Repair Moisture Gel,sebelumnya aku udh coba toner 4dnya skintific dan aku suka bangeettt jadi aku putuskan buat cb moisturizernya tapii ternyata ga cocok karena dia kasih rasa perih di daerah hidungku yg kebetulan daerah paling sensi ,1
2,Skintific 5x Ceramide Barrier Repair Moisture Gel,"sumpah ini di aku biasa bgt ga paham sm org2 yg bilang ini “sebagus itu” . menurutku ga bangetttt terlalu overrated so sorry): (ga bikin jerawatan sih di aku, cm gaada efek yg seheboh org2 bilang gt, efeknya ga jauh beda sm hada labo)",1
3,Skintific 5x Ceramide Barrier Repair Moisture Gel,"Males bgt gue ke makan iklan, kt ny bagus untuk jerawat beruntusan, nih gue make hampir 3 Minggu, muka gue malah jerawatan anjirrrr, malah beruntusan... Dah lah gais jgn ke makan iklan dan komen org yg boong... Nyesel gue belinya ,BUANG BUANG UANG BGT!!!! NI KOMEN PALING JUJUR ANJIRRRRRR... gua terlalu ekpektasi muka gua jadi mulus, malah nyesellllll",1
4,Skintific 5x Ceramide Barrier Repair Moisture Gel,Maaf yach... Tp sy sdh pakai seminggu lebih tapi mukaku gampang jerawatan dan bisul2. Mgkn tdk cocok keaku,1
5,Skintific 5x Ceramide Barrier Repair Moisture Gel,"Pengirimannya lama banget, dan harus di ambil dulu ke jnt nya besok besok jangan pake jnt lagi min saran parah pelayanannya, makanya aku kasih 1 bintang maap ya",1
6,Skintific 5x Ceramide Barrier Repair Moisture Gel,"2 kalinya beli disini bener2 kecewa packing tidak terlalu aman dikasih bubble cuman dikit udah gitu penyok pengiriman lama,0as di buka tutupnya ga terlalu rapet kaya yg udh pernah digunakan ya jelas belber kemana2 dalemnya sayang banget ga amanah!",2
7,Skintific 5x Ceramide Barrier Repair Moisture Gel,"Barangnya tumpah gini, pengiriman cuma pke bubble wrap tanpa kardus.",2
8,Skintific 5x Ceramide Barrier Repair Moisture Gel,"Udah 3 jar habis.. cuma kayanya agak berbeda yg terbaru, warna penutup jar nya agak berubah. Spatula jg agak berubah, wanginya jg agak berubah dr semula Efektivitas masih belum tau, tapi malah muncul jerawat dan BREAKOUTT stlh pakai ini hiks.. padahal sblmnya2 gak pernah🥲 agak sedih jadinya akutu",2
9,Skintific 5x Ceramide Barrier Repair Moisture Gel,"Untuk produk ini kurang cocok di muka aku. Walaupun beli karena dipengaruhi racun tasya dan kulit tasya juga tipekal kering. Di aku kalo pake ini abis pake prosuk yg sblmnya bikin lembab terus ditambah produk ini, kelembaban produk yg sebelumnya dipake hilang dan bikin efek muka tambah kering.",2
10,Skintific 5x Ceramide Barrier Repair Moisture Gel,Tolong banget packaginnya Setara shopee mall kok gni ini bubble wrap jg percuma bnyk yg kempes kaya di kasih yg bekas,2
11,Skintific 5x Ceramide Barrier Repair Moisture Gel,Repeat order kesekian kalinya. Karena cocok banget di kulit akuu. Bener-bener bisa mencerahkan. Pengirimannya agak lumayan lama tapi overall aman begitu sampe. Packingnya savety banget. Terimakasih seller!!!,3
